ID,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13
1547,-0.343240363,-1.321435381,0.329368443,-0.480294672,0.035304226,0.33028093,-0.218727489,0.116631791,-0.250123339,-0.077369598,0.034790307,-0.075526578,0.218220197
1548,0.921508135,-0.13774648,0.189500348,-0.127916006,0.401218165,-0.150327368,0.098672232,-0.001375613,0.084584566,0.107061692,-0.045506603,-0.068903464,-0.064267343
1549,-0.246057658,0.325238994,0.253096976,-0.387891332,-0.092630722,0.028365588,0.362425952,-0.119765774,-0.142441606,-0.089908474,-0.015561641,-0.013242715,-0.006546589
1550,-0.440985585,-0.850135138,-0.071830773,-0.208796125,0.089077847,0.077475509,-0.34006975,-0.078038964,-0.144369095,-0.020632926,0.012609757,-0.213500493,0.021634139
1551,0.470739489,-0.179717532,-0.046834218,0.077198992,-0.369214751,-0.091162016,0.035424411,-0.108421642,0.18182224,0.024199683,0.022594264,-0.127222295,0.045090566
1552,1.031878099,-0.100389672,-0.028141286,-0.395620134,-0.041233795,0.164450054,-0.215614933,-0.104517763,-0.034163847,-0.115903591,-0.063602289,-0.087639923,0.042444824
1553,-0.51481597,-0.03524319,-0.090851842,0.448204545,0.125408,-0.074278047,0.168309104,-0.334268466,-0.097128317,-0.055396995,-0.026650286,-0.046181344,0.056839367
1554,0.303950657,0.001154195,-0.448135913,0.247856317,0.457938911,0.21549801,-0.083939779,-0.059129469,-0.208006324,-0.210265391,-0.097987319,0.13051627,0.368353814
1555,1.028605564,0.523347483,-0.142117048,-0.085518434,-0.00411306,-0.045725594,0.039915826,-0.076167547,-0.032275801,-0.120749956,-0.074858271,-0.031620692,-0.067199764
1556,0.573625181,-0.313968944,0.199824544,0.27812379,-0.019023321,-0.07330323,0.042127214,-0.2748738,-0.056773494,-0.065184993,0.017733976,-0.031775172,-0.033896251
1557,0.525474819,0.217119289,-0.02091136,-0.191826878,-0.261479588,0.170370532,0.105112783,-0.004922963,-0.309757396,0.052914386,-0.087431589,0.104878621,0.109358679
1563,-0.228235291,-0.1738539,0.354576487,-0.014323417,0.188334266,-0.020584913,-0.127198991,0.068900216,-0.035141633,0.080961953,0.134043987,-0.125179403,0.119685769
1565,-1.296300389,-0.292492766,0.436794104,-0.281330159,-0.359643335,-0.016407686,-0.024354174,0.199919784,-0.130562371,-0.124199054,-0.091707656,0.174740449,-0.046172882
1566,-0.861283682,-0.629322419,0.478572514,0.246796918,-0.006177716,-0.117174237,0.015527819,0.155963931,0.261709381,-0.07939273,-0.210603603,0.063859047,0.031923082
1568,-0.482507585,-0.316969852,0.25007711,0.58446628,-0.137063912,-0.071615739,0.135689709,0.169386222,-0.192049581,0.076837408,-0.205583997,-0.137485479,-0.205774513
1572,1.662963777,0.078911334,0.621851414,0.310568779,-0.042601384,0.082350818,0.13337413,0.107629808,0.088426251,0.009397319,0.092932214,-0.030718838,0.054318663
1573,0.745846923,-0.022197134,-0.047728977,0.011157843,0.098482854,-0.359635108,0.127150771,-0.227435329,0.073971755,-0.132667345,0.008841438,-0.032007978,-0.009565111
1574,-0.028158743,-1.012035425,0.212013847,0.255386635,-0.418406839,0.320946642,-0.054591041,0.033480568,0.12905634,0.093966767,-0.158508162,0.082339857,-0.16115734
1577,-0.642162129,1.089248259,0.053737609,0.312946151,-0.757674853,0.191092649,0.121180854,-0.143134114,-0.000942572,0.17680066,-0.176344743,-0.125890033,0.099894686
1578,0.625893104,-0.772730731,-0.594184815,-0.068969685,0.190028286,-0.331498612,0.18861059,0.227339905,0.200061566,0.309994729,0.003543124,-0.009930817,-0.160230328
1579,0.447072292,-0.120979748,0.23944243,-0.093845624,0.070007633,-0.114177473,-0.165132339,-0.035249384,-0.141298381,-0.050255938,0.071899032,0.140484134,-0.210854326
1580,0.597307452,0.76371325,0.500975283,0.681766095,0.026819793,-0.061796725,0.034029237,0.013445649,-0.032111459,0.279646102,-0.051768942,0.026405844,-0.018371195
